rapidity,               ,x center,-0.35,-0.25,-0.15,-0.05,0.05,0.15,0.25,0.35,0.45,0.55,0.65,0.75,0.85,0.95,1.05,1.15,1.25,1.35,1.45,1.55,1.65,1.75,1.85,1.95
,               ,x low   ,-0.4,-0.3,-0.2,-0.1,-3.47E-17,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.95
,               ,x high  ,-0.3,-0.2,-0.1,6.94E-17,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.95
p,132+124,value,13.9178,14.4336,14.7671,14.8324,14.955,14.6605,14.3187,13.6251,12.7192,11.9632,10.7894,9.7033,8.40799,7.06588,5.64974,4.19072,2.95892,1.91102,1.20721,0.691294,,,,
, ,error,3.86E-01,0.448699,0.454746,0.487727,0.499283,0.490006,0.496078,0.475018,0.438652,0.419555,0.388771,0.321007,0.272412,0.228862,0.189791,0.135077,0.095768,0.0560618,0.0362575,3.61E-02,,,,
,108+112,value,15.5419,16.2632,16.9196,17.0896,17.2303,17.2626,16.9163,16.2538,15.418,14.5262,13.5509,12.1174,10.6823,9.19791,7.45811,5.84523,4.18881,2.71773,1.7011,0.978429,,,,
, ,error,4.90E-01,0.499463,0.54562,0.573457,0.583864,0.599789,0.620673,0.567669,0.539213,0.475996,0.450974,0.405762,0.336877,0.279212,0.250682,0.183592,1.41E-01,7.77E-02,5.51E-02,4.13E-02,,,,
,112+124,value,14.7213,15.405,15.8508,16.1637,15.9187,15.8562,15.5309,14.8776,14.403,13.1183,12.275,10.6724,9.30049,7.98663,6.44804,4.99947,3.57766,2.30516,1.43746,0.769626,,,,
, ,error,5.17E-01,0.54008,0.570691,0.596693,0.622977,0.580919,0.5826,0.512992,0.512626,0.439449,0.431064,0.378061,0.285904,0.252648,0.17723,0.11491,1.17E-01,6.11E-02,4.88E-02,2.11E-02,,,,
,124+112,value,15.267,15.6137,16.4696,15.9746,15.9335,16.0115,15.5699,15.3119,14.5117,13.2063,12.1438,11.1636,9.42365,8.42524,6.56683,4.84609,3.57375,2.30331,1.44804,0.81267,,,,
, ,error,0.665256,0.620357,0.63444,0.668134,0.646396,0.680963,0.617207,0.586117,0.600389,0.583948,0.47472,0.38602,0.307879,0.279305,0.239146,0.171178,0.140371,7.10E-02,3.24E-02,2.20E-02,,,,
d,132+126,value,11.5952,12.4036,12.8452,13.2917,13.2789,13.033,12.6405,11.9077,11.0297,10.1024,8.97134,7.6155,6.16217,4.76008,3.30338,1.99853,1.0351,0.445863,1.62E-01,5.22E-02,,,,
, ,error,3.92E-01,0.441422,0.465794,0.466965,0.463559,0.480585,0.447596,0.425699,0.365347,0.353207,0.294732,0.235479,0.193535,0.158663,1.14E-01,6.61E-02,5.70E-02,1.59E-02,1.76E-02,7.21E-03,,,,
,108+114,value,10.3797,10.9793,11.3285,11.6099,11.7596,11.558,11.1425,10.6315,9.79705,9.14533,8.12576,7.1513,6.0133,4.82025,3.49468,2.14036,1.22451,5.46E-01,2.22E-01,5.12E-02,,,,
, ,error,0.338045,0.366151,0.367352,0.368851,0.393924,0.387646,0.373294,0.326528,0.306028,0.274956,0.235608,0.226084,0.163575,0.12556,1.04E-01,6.91E-02,4.67E-02,2.56E-02,2.05E-02,1.13E-02,,,,
,112+124,value,1.10E+01,11.9648,12.2549,12.3204,12.1332,11.7992,11.5213,10.9436,10.1504,9.03928,8.22122,6.79554,5.6635,4.51749,3.09732,1.95542,1.03E+00,4.08E-01,1.23E-01,2.39E-02,,,,
, ,error,3.85E-01,0.417267,0.435864,0.432926,0.453599,0.381048,0.407987,0.375004,0.341402,0.281017,0.299441,0.223327,0.166527,0.126633,0.0764859,0.0520782,6.57E-02,4.39E-02,2.82E-02,0.00E+00,,,,
,124+112,value,1.06E+01,11.372,12.0677,11.8679,12.496,12.315,11.714,11.5754,10.9719,10.0131,9.01621,7.72355,6.69796,5.2325,3.65334,2.24881,1.19E+00,5.42E-01,1.67E-01,4.76E-02,,,,
, ,error,4.06E-01,0.418912,0.422127,0.459576,0.463944,0.431739,0.500925,0.444302,0.437856,0.361539,0.27025,0.241371,0.227051,0.163536,0.113879,0.0745122,6.69E-02,7.62E-02,3.76E-02,1.71E-02,,,,
t,132+128,value,8.9954,10.0139,10.3133,10.4018,10.348,10.0255,9.58882,9.021,8.25737,7.46165,6.43819,5.25118,4.00411,2.72628,1.57272,7.88E-01,2.93E-01,1.08E-01,3.68E-02,6.89E-03,,,,
, ,error,3.39E-01,0.38463,0.373034,0.346537,0.340213,0.336551,0.308907,0.279076,0.24614,0.228196,1.92E-01,1.35E-01,1.08E-01,9.67E-02,5.00E-02,5.62E-02,1.30E-02,5.88E-03,5.87E-03,1.21E-03,,,,
,108+116,value,6.3878,6.97248,7.22946,7.24665,7.15157,6.99647,6.66849,6.13478,5.64107,5.08034,4.43718,3.75381,2.91,2.14302,1.34E+00,7.66E-01,3.88E-01,1.35E-01,5.15E-02,1.68E-02,,,,
, ,error,0.249325,0.278563,0.234686,0.242037,0.235129,0.240898,0.200727,0.183045,0.175911,1.42E-01,1.35E-01,9.33E-02,7.10E-02,5.73E-02,5.21E-02,3.22E-02,2.36E-02,1.23E-02,9.15E-03,3.90E-03,,,,
,112+124,value,7.69E+00,8.42311,8.77461,8.58791,8.54916,7.98926,7.53182,6.98496,6.26032,5.49667,4.69743,3.71281,2.88141,2.07479,1.30794,0.695847,3.09E-01,1.53E-01,6.56E-02,2.03E-02,,,,
, ,error,3.12E-01,0.278649,0.281595,0.291496,0.250198,0.265263,0.229404,0.218739,0.191354,0.151291,0.117822,0.105745,0.0876751,0.0588018,0.0487808,0.0295595,1.89E-02,9.91E-03,6.84E-03,3.37E-03,,,,
,124+112,value,6.98E+00,7.82552,8.35145,8.51092,8.59312,8.57107,8.08938,7.56981,7.62096,6.64467,6.12297,5.07572,3.92678,2.9465,1.771,1.07677,4.94E-01,2.35E-01,7.60E-02,1.92E-02,,,,
, ,error,2.63E-01,0.323294,0.300377,0.26619,0.297587,0.284214,0.25886,0.234223,0.258586,0.241592,0.173169,0.148787,0.117232,0.0993227,0.0556487,0.0494362,2.48E-02,2.16E-02,1.80E-02,1.92E-02,,,,
he3,132+130,value,2.12425,2.305,2.42112,2.59847,2.77528,2.74237,2.77849,2.65442,2.46033,2.21407,1.95275,1.6672,1.28462,0.924654,0.627972,3.38E-01,1.55E-01,7.68E-02,3.05E-02,5.40E-03,,,,
, ,error,3.56E-01,0.375514,0.332475,0.25988,0.198262,0.14178,0.137352,0.136939,0.12503,1.17E-01,1.08E-01,9.02E-02,7.45E-02,7.08E-02,6.14E-02,3.71E-02,2.42E-02,1.24E-02,9.02E-03,0.00E+00,,,,
,108+118,value,2.56456,2.78504,2.86132,2.94062,3.05565,3.05927,3.06625,2.98705,2.8333,2.65221,2.43045,2.10765,1.71608,1.34854,9.16E-01,5.37E-01,2.69E-01,1.42E-01,5.36E-02,1.90E-02,,,,
, ,error,4.24E-01,4.40E-01,0.389143,0.280547,0.190455,0.13383,0.133273,0.13379,0.106328,1.27E-01,1.12E-01,9.88E-02,1.01E-01,7.76E-02,7.21E-02,5.67E-02,3.56E-02,2.99E-02,9.19E-03,1.90E-02,,,,
,112+124,value,2.58E+00,2.72614,2.83706,2.85603,2.81362,2.87429,2.83691,2.79595,2.55946,2.40161,2.09376,1.76645,1.36449,1.10163,0.713812,0.421441,2.34E-01,1.13E-01,4.66E-02,1.39E-02,,,,
, ,error,5.25E-01,0.526367,0.472641,0.345,0.215761,0.131811,0.129191,0.126895,0.108049,0.107626,0.0972012,0.0795006,0.0856807,0.0727162,0.0707124,0.0456524,4.82E-02,2.20E-02,1.44E-02,0.00E+00,,,,
,124+112,value,2.33E+00,2.60859,2.68153,2.75313,2.80124,2.95635,2.85133,2.94028,2.73538,2.44166,2.25095,2.01234,1.5988,1.25017,0.791455,0.470129,2.64E-01,1.07E-01,4.99E-02,1.25E-02,,,,
, ,error,4.45E-01,0.509769,0.399604,0.285835,0.183135,0.150457,0.162404,0.117628,0.136127,0.12306,0.114093,0.0999689,0.114654,0.0821495,0.0872708,0.0633637,3.60E-02,1.99E-02,2.46E-02,0.00E+00,,,,
he4,132+132,value,5.00084,5.67178,6.14098,6.57868,6.61558,6.49337,6.2001,5.85226,5.29771,4.66517,4.04528,3.25531,2.43E+00,1.56E+00,8.76E-01,3.61E-01,0.132123,0.046895,0.0135816,0.00436308,,,,
, ,error,0.218972,0.237793,0.242395,0.245986,0.234533,0.225637,0.212784,0.209592,1.64E-01,1.55E-01,1.62E-01,1.66E-01,1.73E-01,1.16E-01,8.90E-02,4.89E-02,0.0228009,0.010504,0.0043096,0.00852799,,,,
,108+120,value,4.98669,5.43228,5.55254,5.68783,5.63265,5.36425,5.14524,4.752,4.39751,3.92818,3.46626,3.01E+00,2.35E+00,1.73E+00,1.02E+00,4.98E-01,0.196376,0.065396,0.0300892,0.00768667,,,,
,,error,0.234242,0.221328,0.211611,0.205047,0.180225,0.166411,0.139641,0.134261,1.24E-01,1.39E-01,1.77E-01,2.34E-01,1.69E-01,1.41E-01,7.50E-02,4.68E-02,0.0309449,0.0178428,0.00747857,0,,,,
,112+124,value,5.65959,5.78856,5.93988,5.86458,5.78862,5.61804,5.13263,4.65392,4.17201,3.74266,3.08525,2.45876,2.09493,1.43717,0.852889,0.414503,0.179009,0.0619153,0.0180023,0.00926057,,,,
, ,error,0.282431,0.271656,0.25843,0.216381,0.22447,0.20483,0.160842,0.146968,0.12496,0.0987392,0.087409,0.0786561,0.0782247,0.0515968,0.0533606,0.0389232,0.0189761,0.0194644,0.00539849,0.00932811,,,,
,124+112,value,4.72912,5.27043,5.62369,5.91215,5.99997,6.06891,5.97649,5.39333,5.29326,4.68901,4.30629,3.82995,2.91787,1.9585,1.21332,0.569614,0.214916,0.0836337,0.0354499,0.0239608,,,,
, ,error,0.223528,0.224947,0.272191,0.221736,0.230044,0.216695,0.19644,0.167546,0.164885,0.140757,0.12507,0.11388,0.101285,0.084818,0.0639923,0.0452627,0.0325359,0.0305803,0.0149423,0,,,,